county,original_missing,after_linear,final_missing
Alameda,12,0,0
Alpine,30,14,0
Amador,3,0,0
Butte,1,0,0
Calaveras,1,0,0
Colusa,1,0,0
Contra Costa,1,0,0
Del Norte,3,0,0
El Dorado,1,0,0
Fresno,1,0,0
Glenn,1,0,0
Humboldt,2,0,0
Imperial,1,0,0
Inyo,2,0,0
Kern,1,0,0
Kings,1,0,0
Lake,1,0,0
Lassen,1,0,0
Los Angeles,1,0,0
Madera,1,0,0
Marin,2,0,0
Mariposa,1,0,0
Mendocino,1,0,0
Merced,1,0,0
Modoc,2,0,0
Mono,1,0,0
Monterey,3,0,0
Napa,2,1,0
Nevada,3,0,0
Orange,1,0,0
Placer,1,0,0
Plumas,1,0,0
Riverside,1,0,0
Sacramento,1,0,0
San Benito,1,0,0
San Bernardino,1,0,0
San Diego,13,0,0
San Francisco,1,0,0
San Joaquin,1,0,0
San Luis Obispo,1,0,0
San Mateo,1,0,0
Santa Barbara,1,0,0
Santa Clara,1,0,0
Santa Cruz,1,0,0
Shasta,1,0,0
Sierra,17,1,0
Siskiyou,5,0,0
Solano,1,0,0
Sonoma,1,0,0
Stanislaus,1,0,0
Sutter,1,0,0
Tehama,3,0,0
Trinity,4,0,0
Tulare,3,0,0
Tuolumne,4,1,0
Ventura,1,0,0
Yolo,3,0,0
Yuba,2,0,0
