county,correlation,mape,data_points
Alameda,0.9999999999999998,0.0,35
Alpine,1.0,0.0,35
Amador,1.0,0.0,35
Butte,1.0,0.0,35
Calaveras,0.9999999999999999,0.0,35
Colusa,0.9999999999999999,0.0,35
Contra Costa,1.0,0.0,35
Del Norte,0.9999999999999999,0.0,35
El Dorado,1.0,0.0,35
Fresno,1.0,0.0,35
Glenn,1.0,0.0,35
Humboldt,1.0,0.0,35
Imperial,1.0,0.0,35
Inyo,0.9999999999999999,0.0,35
Kern,1.0,0.0,35
Kings,1.0,0.0,35
Lake,1.0,0.0,35
Lassen,1.0,0.0,35
Los Angeles,1.0,0.0,35
Madera,1.0,0.0,35
Marin,1.0,0.0,35
Mariposa,1.0,0.0,35
Mendocino,0.9999999999999999,0.0,35
Merced,0.9999999999999998,0.0,35
Modoc,1.0,0.0,35
Mono,1.0,0.0,35
Monterey,0.9999999999999998,0.0,35
Napa,1.0,0.0,35
Nevada,1.0,0.0,35
Orange,1.0,0.0,35
Placer,1.0,0.0,35
Plumas,1.0,0.0,35
Riverside,0.9999999999999999,0.0,35
Sacramento,0.9999999999999998,0.0,35
San Benito,1.0,0.0,35
San Bernardino,1.0,0.0,35
San Diego,1.0,0.0,35
San Francisco,1.0,0.0,35
San Joaquin,1.0,0.0,35
San Luis Obispo,0.9999999999999998,0.0,35
San Mateo,1.0,0.0,35
Santa Barbara,1.0,0.0,35
Santa Clara,1.0,0.0,35
Santa Cruz,1.0,0.0,35
Shasta,1.0,0.0,35
Sierra,0.9999999999999999,0.0,35
Siskiyou,1.0,0.0,35
Solano,0.9999999999999999,0.0,35
Sonoma,1.0,0.0,35
Stanislaus,1.0,0.0,35
Sutter,0.9999999999999998,0.0,35
Tehama,1.0,0.0,35
Trinity,1.0,0.0,35
Tulare,1.0,0.0,35
Tuolumne,1.0,0.0,35
Ventura,1.0,0.0,35
Yolo,1.0,0.0,35
Yuba,1.0,0.0,35
