County,Population,Population Density,metro_area
Alameda,1610046,2185,SanFranciscoOaklandSanJose
Alpine,1043,1,SacramentoStocktonModesto
Amador,42447,71,SacramentoStocktonModesto
Butte,206778,126,SacramentoStocktonModesto
Calaveras,46583,46,SacramentoStocktonModesto
Colusa,22293,19,SacramentoStocktonModesto
Contra Costa,1151037,1605,SanFranciscoOaklandSanJose
Del Norte,25543,25,SacramentoStocktonModesto
El Dorado,191071,112,SacramentoStocktonModesto
Fresno,1020768,171,SacramentoStocktonModesto
Glenn,27667,21,SacramentoStocktonModesto
Humboldt,132067,37,SacramentoStocktonModesto
Imperial,179291,43,SanDiego
Inyo,18097,2,LosAngeles
Kern,907958,112,LosAngeles
Kings,152072,109,SacramentoStocktonModesto
Lake,67290,54,SacramentoStocktonModesto
Lassen,26543,6,SacramentoStocktonModesto
Los Angeles,9550505,2352,SanDiego
Madera,167916,79,SacramentoStocktonModesto
Marin,250913,483,SanFranciscoOaklandSanJose
Mariposa,16651,11,SacramentoStocktonModesto
Mendocino,87310,25,SanFranciscoOaklandSanJose
Merced,295340,152,SacramentoStocktonModesto
Modoc,8262,2,SacramentoStocktonModesto
Mono,13194,4,SacramentoStocktonModesto
Monterey,426401,130,SanDiego
Napa,130908,174,SanFranciscoOaklandSanJose
Nevada,101309,106,SacramentoStocktonModesto
Orange,3106521,3917,LosAngeles
Placer,434535,309,SacramentoStocktonModesto
Plumas,18507,7,SacramentoStocktonModesto
Riverside,2528844,351,SanDiego
Sacramento,1584104,1642,SacramentoStocktonModesto
San Benito,69239,50,SanFranciscoOaklandSanJose
San Bernardino,2197017,109,SanDiego
San Diego,3255567,773,LosAngeles
San Francisco,811416,17264,SanFranciscoOaklandSanJose
San Joaquin,814309,585,SacramentoStocktonModesto
San Luis Obispo,280825,85,SanFranciscoOaklandSanJose
San Mateo,721201,1606,SanFranciscoOaklandSanJose
Santa Barbara,435941,159,LosAngeles
Santa Clara,1876106,1453,SanFranciscoOaklandSanJose
Santa Cruz,256161,576,SanFranciscoOaklandSanJose
Shasta,179224,47,SacramentoStocktonModesto
Sierra,3156,3,SacramentoStocktonModesto
Siskiyou,41143,7,SacramentoStocktonModesto
Solano,449884,547,SanFranciscoOaklandSanJose
Sonoma,480098,305,SanFranciscoOaklandSanJose
Stanislaus,551838,369,SacramentoStocktonModesto
Sutter,96706,160,SacramentoStocktonModesto
Tehama,64090,22,SacramentoStocktonModesto
Trinity,15454,5,SacramentoStocktonModesto
Tulare,482636,100,LosAngeles
Tuolumne,53438,24,SacramentoStocktonModesto
Ventura,823028,447,LosAngeles
Yolo,217596,215,SacramentoStocktonModesto
Yuba,88460,140,SacramentoStocktonModesto
